descriptif,nom_plage,commune,photo,nature_baignade,grand_territoire,source,date_ouverture,date_fermeture,date_detail,id,lon,lat
"Le Penon, c'est la plage centrale de Seignosse, familiale par excellence, car directement accessible depuis les Résidences et le centre commerçant. Sur place, vous trouverez des écoles de surf, un bar/restaurant, le poste de secours, des toilettes, des douches et des consignes. C'est le spot préféré des locaux pour voir le coucher de soleil. 

Plage labellisée Pavillon bleu.
Équipée d'un tiralo.

Consultez la webcam pour voir l'état de la mer et téléchargez l'appli PLAGES LANDES pour le direct de la météo et des conditions de surf.
",Plage du Penon,SEIGNOSSE,http://aquitaine.media.tourinsoft.eu/upload/plage-penon-2018--Seignosse-tourisme--14--2.JPG,Plage oceane,Sud Landes,SIRTAQUI,,,,100,-1.4365480999999998,43.70933830004578
"Les Casernes, c'est la plage la plus sauvage de Seignosse. Un peu à l'écart, vers le nord, entre dunes et forêt, elle ravit les amateurs de grands espaces. Sur place, vous trouverez des écoles de surf, un snack, le poste de secours, des sanitaires et des douches.


Consultez la webcam pour voir l'état de la mer et téléchargez l'appli PLAGES LANDES pour le direct de la météo et des conditions de surf.",Plage des Casernes,SEIGNOSSE,http://aquitaine.media.tourinsoft.eu/upload/Casernes-2016--Seignosse-tourisme--25-.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,99,-1.4327929000000006,43.72328860004572
"La plage de Caton est située au nord du lac de Sanguinet, espace naturel préservé situé au cœur de la forêt landaise. Avec une eau calme, transparente et peu profonde le lac assure une baignade sécurisée pour toute la famille. Au-delà de la présence d’une petite restauration et de sanitaires, le site offre de multiples possibilités : le lac est un petit paradis pour les amateurs de voile et de sports nautiques, pour ceux qui sont à la recherche d’une promenade au calme et dans la nature, n’hésitez pas à vous promener le long du chemin de Tchin Tchan qui vous permettra de rejoindre l’autre rive du lac par une agréable promenade à pied. Enfin pour les passionnés d’histoire, découvrez la riche histoire de ce lac où les archéologues ont découvert des pirogues datant de l’âge du fer, un petit musée raconte toute cette histoire dans le bourg de Sanguinet.  Le principe de plages ""dynamiques"" est en vigueur.  Pas de position statique allongée, assise ou debout. Les activités de type promenade, footing, baignade, marche aquatique, activités de glisse sont permises aux horaires définis. (Pratique individuelle obligatoire)",Plage de Caton,SANGUINET,http://aquitaine.media.tourinsoft.eu/upload/sanguinet-plage-lac.jpg,Plage lacustre,Nord Landes,SIRTAQUI,,,,58,-1.0771690999999992,44.494299600041764
"Cette belle plage lacustre à proximité du bourg de Sanguinet, est accessible en vélo via la piste cyclable qui longe le lac depuis Navarrosse. Avec une eau calme, transparente et peu profonde le lac assure une baignade sécurisée pour toute la famille. Sur site, vous trouverez une offre de restauration et des possibilités de location de pédalos, planches à voiles, catamaran… 
Pour ceux qui sont à la recherche d’une promenade au calme et dans la nature, n’hésitez pas à vous promener le long du chemin de Tchin Tchan qui vous permettra de rejoindre par une agréable promenade à pied la petite plage de Caton. Pour les passionnés d’histoire, découvrez la riche histoire de ce lac où les archéologues ont découvert des pirogues datant de l’âge du fer, un petit musée raconte toute cette histoire dans le bourg de Sanguinet.  Le principe de plages ""dynamiques"" est en vigueur.  Pas de position statique allongée, assise ou debout. Les activités de type promenade, footing, baignade, marche aquatique, activités de glisse sont permises aux horaires définis. (Pratique individuelle obligatoire)",Plage du Pavillon,SANGUINET,http://aquitaine.media.tourinsoft.eu/upload/sanguinet-plage-pavillon.jpg,Plage lacustre,Nord Landes,SIRTAQUI,,,,59,-1.0845290999999995,44.486737900041796
"En empruntant la piste cyclable sur l’avenue de l’Océan, vous arrivez sur l’esplanade de la plage qui surplombe l’océan. A toute heure de la journée, c’est est un lieu de vie incontournable à Labenne-Océan : pour accéder à la plage en journée, passer un moment avec les enfants à l’aire de jeux, boire un verre en terrasse en fin de journée, admirer le coucher de soleil sur l’Océan ou écouter un concert des Plages Musicales.
Deux promenades aménagées sur la dune offrent un magnifique point de vue : sur les dunes et le port de Capbreton au nord (vous apercevrez le clocher de la chapelle Sainte-Thérèse) et sur la baie de la Côte Basque et les Pyrénées toutes proches au sud.
",Plage Centrale,LABENNE,http://aquitaine.media.tourinsoft.eu/upload/Plage1-B.Lamothe.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,116,-1.471910400000001,43.599227300046316
"La plage du Métro est une vaste plage à l'extrême sud des Landes, ayant conservé un aspect encore sauvage. On aperçoit distinctement le littoral et les montagnes basques. À proximité, vous trouverez la placette du métro avec de la petite restauration (vente à emporter), un snack sucré, une école de surf et une antenne de l'Office de tourisme du Seignanx. À l'entrée du parking, les visiteurs pourront emprunter la piste cyclable qui relie Ondres par la forêt ou Bayonne (location de vélos à 200 mètres). La plage est désormais ouverte au public, sans restriction. La surveillance est prévue de mi-juin à mi-septembre.",Plage du Métro,TARNOS,http://aquitaine.media.tourinsoft.eu/upload/Plage-Tarnos-TS18.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,118,-1.4993159000000007,43.5595445000465
"Le plage de la digue est une vaste plage caractérisée comme son nom l'indique, par la présence d'une digue, frontière avec nos voisins du Pays Basque. Il s'agit d'un incroyable mur de béton (1 km), qui protège l'estuaire de l'Adour (accès au port de commerce) et offre un superbe point de vue sur côte landaise (au nord) et le Pays Basque (au sud). La plage est désormais ouverte au public, sans restriction. La surveillance est prévue de mi-juin à mi-septembre.",Plage de La Digue,TARNOS,http://aquitaine.media.tourinsoft.eu/upload/Plage-Tarnos-Digue-TS18.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,119,-1.5208874999999986,43.53035490004665
"A quelques mètres de la plage du Lac Marin la Sauvagine de Soustons, il faut marcher une dizaine de minutes environ entre forêt et dune depuis le parking ombragé pour atteindre la plage. A l’exception de quelques services de restauration et écoles de surf présents à côté du parking, c’est une grande plage de sable, réputée pour son aspect entièrement sauvage, qui s’offre à vous ! Ici, on est sur une « plage déconnectée » et il n’y a pas d’accès wifi. Ce caractère de plage nature est un héritage revendiqué et porté par la commune qui souhaite concrétiser l’ambition d’une plage portant une véritable identité et une ambiance naturelle. Spot incontournable pour les sessions surf dans une nature préservée, la plage offre un visage des plus intacts et attirants.",Plage de l'Océan,SOUSTONS,http://aquitaine.media.tourinsoft.eu/upload/Plage-CDT40.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,97,-1.4176225000000011,43.77585050004543
"Cette plage lacustre, située au sud-ouest du Lac Marin à Soustons, est également toute proche de l’océan : elle se situe à une dizaine de minutes à pied de la plage de L’Océan à Soustons. Pour y accéder depuis le bourg de Soustons, il suffit d’emprunter la route départementale 652, puis de tourner sur l’Avenue de la Petre. Le stationnement se fait sur un parking ombragé, très proche de la plage. 
Très appréciée des familles pour son cadre agréable, à l’abri des vagues sous une pinède rafraîchissante, et sa baignade sécurisée dans une eau peu profonde et plus chaude, elle est aussi adaptée à ceux qui recherchent des vacances plus sportives : à proximité immédiate du Golf de Pinsolle et du pôle nautique de Soustons plage, tout le monde y trouvera son compte ! 
Cette plage, bien équipée, est à proximité d’une petite zone de commerces comprenant entre autres bars, restaurants et location de ",Plage du Lac Marin La Sauvagine,SOUSTONS,http://aquitaine.media.tourinsoft.eu/upload/Soustons-plage-baignade-surveillee-lac-marin.jpg,Plage lacustre,Sud Landes,SIRTAQUI,,,,98,-1.4105843999999992,43.776129400045455
"Gastes est situé en plein cœur de la forêt des Landes, à 10 minutes des plages océanes, et en bordure du grand lac de Parentis en Born et de Biscarrosse.
Envie de nature ? La plage du lac est longée par la piste cyclable et une promenade piétonne qui permettent de belles ballades le long d’un petit port typique des lacs et étangs landais.  
Elle propose une partie ensablée et une partie en herbe, où les chênes offrent une ombre rafraichissante. Une aire de jeux, agrémentée du bateau-pirate, symbole de la plage de Gastes permet aux enfants de s'amuser après le bain. L'environnement est sauvegardé, notamment avec ""l'hôtel des capricornes"", petit îlot de biodiversité, à venir découvrir sur place....
Sur le lac, la plage du port dispose d'un espace baignade surveillé en saison estivale. Plage ouverte",Plage du Port de Gastes ,GASTES,http://aquitaine.media.tourinsoft.eu/upload/gastes-le-lac.jpg,Plage lacustre,Nord Landes,SIRTAQUI,,,,72,-1.147477299999999,44.32931140004261
"La plage Centrale de Biscarrosse est la plage du centre de la station. Dans le prolongement de la rue piétonne, elle est facilement accessible. La station de Biscarrosse-Plage étant desservie par la Vélodyssée, la plage est donc bien accessible à vélo. 
A proximité immédiate de toutes les commodités du centre-ville, cette plage accueille le public dans des conditions idéales. On y trouve de nombreux établissements touristiques (école de surf, club de plage, restaurant).
Cette plage est également très agréable hors saison. On trouve des places de parking le long de l’avenue des sables, et une promenade piétonne le long du front de mer qui permet de rejoindre facilement la plage nord et sud, tout en profitant de la vue. 
On s’y baigne en sécurité, sous la vigilance des Nageurs Sauveteurs.  L’accès à la plage Centrale est autorisée. La baignade n'est pas surveillée.
Vous accéderez à la plage depuis le chemin à gauche du poste de secours en le longeant sur le coté droit et reviendrez de la plage en le longeant sur le coté gauche.
Les sanitaires et douches sont fermés.",Plage Centrale,BISCARROSSE,http://aquitaine.media.tourinsoft.eu/upload/Plage-centrale1.jpg,Plage oceane,Nord Landes,SIRTAQUI,,,,64,-1.2567328999999994,44.445224300042
"La plage océane du Vivier se situe au nord Biscarrosse Plage dans une zone préservée, on y accède par un sentier depuis le parking (environ 700 mètres, 10 minutes à pied). Ce parking à l’ombre des pins est gratuit pour les voitures, mais règlementé pour les campings cars. Pour venir sur ce site, vous pouvez également emprunter la piste cyclable qui dessert toutes les plages de la commune. 
Un restaurant de plage se trouve à proximité du poste de surveillance.  
Côté surf, le spot est reconnu tout autant pour la qualité de ses vagues que pour l’environnement préservé qu’il offre. Pour compléter votre visite sur cette magnifique plage, n’hésitez pas à découvrir le sentier d’interprétation de la Lette du Vivier. Monté sur pilotis pour limiter son impact sur la faune et la flore, ce sentier vous invite à prendre connaissance de la biodiversité et de la Lette.  L’accès à la plage du Vivier est autorisée mais la baignade n'est pas surveillée.
Vous accéderez à la plage depuis le parking  en longeant le chemin  d'accès sur le coté droit et reviendrez de la plage en longeant sur le coté gauche.
Les sanitaires et douches sont fermés.",Plage du Vivier,BISCARROSSE,http://aquitaine.media.tourinsoft.eu/upload/plage-oceane-bisca-3.JPG,Plage oceane,Nord Landes,SIRTAQUI,,,,62,-1.2545871000000004,44.45858100004193
"Le lac avec ses eaux limpides et turquoises sont uniques sur la Côte Atlantique. En bordure des plages, la faible profondeur des eaux leur confère des airs de lagon du Pacifique ce qui en fait un lieu idyllique, particulièrement sécurisé pour les enfants et… les plus grands, d'autant que l'été, la température de l'eau de baignade oscille entre 24 et 28°C."" 

Des activités nautiques diverses et variées.
A Maguide vous avez le choix des activités regroupées en un même lieu : parc aquatique,  pédalo, oxoon, planche à voile, trampoline, location de bateaux, ski nautique, bouée, parachute ascensionnel, club de plage, restaurants...",Plage du Port de Maguide,BISCARROSSE,http://aquitaine.media.tourinsoft.eu/upload/Bisca-plage-lac.JPG,Plage lacustre,Nord Landes,SIRTAQUI,,,,67,-1.2003421,44.455456500041976
"La plage de Navarrosse se situe au sud du lac de Biscarosse. Vous pourrez la rejoindre par la piste cyclable depuis Biscarrosse ville et si vous le souhaitez poursuivre votre route jusqu’aux plages de Sanguinet. 
A Navarrosse, sur 100 mètres, l’eau du lac de Biscarrosse est à moins de 1 mètre de profondeur, ce qui convient particulièrement aux enfants en bas âge. L’été, l’eau oscille entre 24° et 28°, ce qui en fait un véritable paradis pour les enfants et les parents ! Diverses activités nautiques sont également praticables sur le lac. 

Vous pourrez accéder facilement aux plages du lac grâce aux nombreux parkings (payants en été) qui longent celui-ci. La plage est équipée et surveillée en période estivale. ",Plage de Navarrosse,BISCARROSSE,http://aquitaine.media.tourinsoft.eu/upload/Plage-du-lac-de-Biscarrosse-landes.jpg,Plage lacustre,Nord Landes,SIRTAQUI,,,,66,-1.1774253000000015,44.43243140004208
"La plage océane Nord de Biscarrosse est située dans le centre de la station balnéaire. Cette vaste plage de sable s’étend vers le nord jusqu'à la plage du Vivier. La station de Biscarrosse Plage étant desservie par la Vélodyssée, la plage est largement accessible à vélo depuis les communes voisines. Sur place, une piste dessert également les 4 plages océanes surveillées de la commune. 
Les surfers observent les vagues depuis la terrasse d’un restaurant avec vue sur l’océan à l'affût des meilleures conditions. 
Un peu à l’écart de la foule qui se concentre sur la plage centrale en été, mais non loin de toutes les commodités du centre-ville, cette plage accueille le public dans des conditions idéales. 
Une promenade piétonne le long du front de mer permet de rejoindre facilement la plage centrale et la plage sud, tout en profitant de la vue.  L’accès à la plage Nord est autorisée mais la baignade n'est pas surveillée
Vous accéderez à la plage depuis le chemin à droite du rond-point Nord en longeant le chemin  d'accès sur le coté droit et reviendrez de la plage en longeant sur le coté gauche.
Les sanitaires et douches sont fermés.",Plage Nord,BISCARROSSE,http://aquitaine.media.tourinsoft.eu/upload/Plage-nord2.jpg,Plage oceane,Nord Landes,SIRTAQUI,,,,63,-1.2560892000000006,44.44897730004201
"A Moliets, la plage principale est le lieu incontournable pour surfer, bronzer, papoter, rigoler, manger une glace, faire des châteaux de sable…, ceux qui recherchent de l’animation trouveront tout sur place grâce aux commerces installés le long de la plage principale. Pour ceux qui cherchent une plage plus intimiste, on vous conseille d’aller sur la plage des chênes liège à l’abri des foules. Profitez de votre venue pour découvrir la réserve naturelle du Courant d’Huchet. A pied ou en barque (accompagné par nos charmants bateliers), laissez vous guider et découvrir celle que l'on appelle l'Amazonie landaise. 
Mise à disposition de deux tiralos pour les personnes handicapées. 
Naturisme toléré en dehors de la zone réglementée. 
Les chiens sont acceptés tenus en laisse mais ils sont interdits dans la zone située entre le poste de secours et l'embouchure du courant.",Plage Centrale,MOLIETS ET MAA,http://aquitaine.media.tourinsoft.eu/upload/Poste-MNS-Moliets-web--S.Am.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,89,-1.3924418999999995,43.85258720004504
"La plage des Chênes Liège se situe à 1km au sud de la plage centrale, on y accède à pied depuis la station balnéaire en traversant le Golf, ou bien en vélo !
C'est une plage qui se mérite, mais si vous recherchez une plage plus intimiste pour poser votre serviette sur le sable et profiter pleinement du paysage au cœur de la forêt et de la vue sur l’océan, c’est sur cette plage qu’il faut vous rendre ! 
Bien moins fréquentée que la plage centrale de Moliets, elle est idéale pour ceux qui cherchent un endroit à l’abri des foules. Malgré cet aspect plus sauvage, la plage offre un accès bien aménagé et équipé, accueillant tous les publics pour une baignade en toute sécurité. 
Mise à disposition d'un tiralo pour les personnes handicapées. 
Naturisme toléré en dehors de la zone réglementée.


",Plage des Chênes lièges,MOLIETS ET MAA,http://aquitaine.media.tourinsoft.eu/upload/Arrivee-plage.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,90,-1.3949095999999994,43.84313980004516
"""La Conviviale""

De nature calme et urbaine, face aux commerces et restaurants, elle accueille, l’été, familles, estivants et jeunes gens. Les écoles de surf profitent des vagues adaptées aux débutants, tandis qu’en hiver, la plage centrale peut se révéler plus tumultueuse, mais reste un spot de surf protégé des fortes houles. Elle est surveillée en été et a l’agrément handiplage. ",Plage Centrale,CAPBRETON,http://aquitaine.media.tourinsoft.eu/upload/APPLI-PLAGE-CENTRALE.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,114,-1.445388300000001,43.652316400046075
"""La locale""
Ici on vient pour surfer, cette plage aussi appelée “La Savane” par les surfeurs locaux, filtre les grosses houles et capte les petites, c’est le terrain de jeu idéal de tous les passionnés de glisse. En été, jeunes et familles s’y côtoient avec convivialité et profitent d’une ambiance assurée autour d’un verre à la cabane. Elle est surveillée en été. ",Plage Santocha,CAPBRETON,http://aquitaine.media.tourinsoft.eu/upload/PLAGE-SANTOCHA--SAVANE.JPG,Plage oceane,Sud Landes,SIRTAQUI,,,,115,-1.4450882,43.647519300046085
"""La paisible""
C’est la plage la plus au nord de la station balnéaire à la limite d’Hossegor, dans le quartier Notre-Dame. Piste verte du surf par excellence à marée basse, elle accueille toutes les écoles de surf d’Hossegor et de Capbreton qui y initient les débutants.
Plage familiale, elle offre une belle étendue de sable et doit son nom à la Vierge protectrice des marins de Capbreton. Elle est surveillée en été. Dépaysement garanti sur la terrasse de la Toile Rouge.",Plage Notre dame,CAPBRETON,http://aquitaine.media.tourinsoft.eu/upload/NOTRE-DAME-3.JPG,Plage oceane,Sud Landes,SIRTAQUI,,,,111,-1.4453887000000003,43.65669500004603
"""La pimpante""
Appelée plus communément plage du VVF en raison de son centre de vacances, la plage des Océanides accueille les familles venues profiter de leur séjour au VVF. Elle est aussi un spot réputé pour les surfeurs confirmés.
En été, concerts et apéros sont animés par le Soweto, cette petite cabane de plage d’où l’on peut admirer le coucher du soleil en sirotant un verre. Elle est surveillée en été.",Plage des Océanides,CAPBRETON,http://aquitaine.media.tourinsoft.eu/upload/PLAGE-VVF.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,113,-1.4507961,43.636323600046104
"""L’indomptable""
Vous y trouverez des spécimens historiques et massifs, les blockhaus ! Les vagues sont puissantes et rapides réservées aux surfeurs confirmés. Elle attire principalement les locaux puisque son accès caché bien qu’aménagé, attire peu les foules. Elle s’avère idéale pour les vacanciers en quête de tranquillité. 
Elle est surveillée en été. ",Plage de La Piste,CAPBRETON,http://aquitaine.media.tourinsoft.eu/upload/PlagePiste.JPG,Plage oceane,Sud Landes,SIRTAQUI,,,,112,-1.4475540000000002,43.64116550004611
"Au sud de Biscarrosse, au bord du lac de Parentis, on trouve la plage Moutéou Pipiou. Cette plage, reliée à Parentis-en-Born par une piste cyclable est très appréciée par les familles pour son sable fin, son bon niveau d’équipement, et pour la baignade idéale dans des eaux calmes. Quelques arbres apportent un peu d’ombre en été. 
Une belle offre d’activités nautiques est présente directement sur la plage et permet à chacun de profiter du lac à sa manière. ",Plage Mouteou Pipiou,PARENTIS EN BORN,http://aquitaine.media.tourinsoft.eu/upload/plage-pipiou-parentis.jpg,Plage lacustre,Nord Landes,SIRTAQUI,,,,60,-1.103742,44.347367000042524
"""L'amicale""
En référence à l’ancien préventorium et face au CERS (Centre de Rééducation du Sportif) de Capbreton trône la plage du Prévent. Accueillante pour les familles et les retraités, elle est la camarade idéale pour apprendre à surfer ou tout simplement pour s’amuser !
Elle est non-fumeurs et surveillée en été. ",Plage du Prévent,CAPBRETON,http://aquitaine.media.tourinsoft.eu/upload/PlagePrevent2.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,253,-1.4458190999999991,43.64967210004606
"""La discrète""
La plus petite plage de Capbreton, sur la rive sud du port située contre la jetée. Elle est le paradis des enfants et des pêcheurs à marée basse et fait le bonheur des adeptes du stand-up paddle. Elle est surveillée en été. ",Plage de l'Estacade,CAPBRETON,http://aquitaine.media.tourinsoft.eu/upload/PLAGE-ESTACADE.jpg,Plage oceane,Sud Landes,SIRTAQUI,,,,254,-1.4452666000000003,43.654927600046065
"La Grande Plage: Une des plus grandes plages, qui s’étend du nord au sud de la baie entre l’Hôtel du Palais et le Bellevue. 
Au cœur de la ville, elle propose commerces, cafés et restaurants à proximité. Plage accessible en fauteuil roulant (plans inclinés).  
Pour des raisons d'hygiène et de salubrité les chiens ne sont pas acceptés  sur l'ensemble des plages toute l'année. Toutefois une dérogation sera accordée pour les personnes non voyantes accompagnées par un chien guide, sur présentation de leur carte d'invalidité au responsable du poste de secours.
Distribution de bracelets d’identité aux enfants au Poste de secours .
LOCATION DE TENTE
Tél : 07 87 87 90 27


",Grande plage ,BIARRITZ,http://aquitaine.media.tourinsoft.eu/upload/Grande-Plage-Biarritz.jpg,Plage oceane,Côte Basque,SIRTAQUI,,,,130,-1.558683999999999,43.484028300046866
"La plage de Parlementia est la plage le plus au sud de Bidart, à la limite avec le village de Guéthary. Cette plage de sable est assez rocheuse et très prisée pour le surf. 
Le cadre est naturel et intimiste avec d’un côté les maisons basques de Bidart et de l’autre le petit village et le port de Guéthary.
Vous pourrez chercher des crabes dans les rochers ou admirer la vue sur le spot de surf de Parlementia, réservé aux initiés. 
La plage est équipée de sanitaires et douches, ainsi que d’un restaurant.
Elle est surveillée en période estivale.
Les chiens ne sont pas autorisés durant la période de surveillance.
Le stationnement se fait sur un petit parking le long de la RD810 puis à pied, par une bonne descente. L’accès peut également se faire à pied par le sentier du littoral.",Plage de Parlementia,BIDART,http://aquitaine.media.tourinsoft.eu/upload/ParleOthondo-2-2.jpg,Plage oceane,Côte Basque,SIRTAQUI,,,,137,-1.6061281999999995,43.42830220004714
"Grande plage de sable fin protégée par une baie au coeur de la ville. Idéale pour la baignade en famille avec de jeunes enfants. 
Clubs de plage, locations de tentes, de transats et de parasols. Location de stand-up, pirogues. 
Plage ""sans-tabac"" à l'extrémité Nord. 
Wifi public gratuit autour du poste de secours et de l’antenne d’animations. Accessible de 6h à 19h uniquement pour marche, course à pied, baignade. Baignade non surveillée. Douches et sanitaires fermés.",Grande plage Pergola  - Digue aux chevaux,SAINT JEAN DE LUZ,http://aquitaine.media.tourinsoft.eu/upload/photo--3--6.JPG,Plage oceane,Côte Basque,SIRTAQUI,,,,146,-1.6605981999999995,43.3928864000473
"S'étendant sur plus de 3km, Hendaye est un site privilégié pour les familles recherchât espace et sécurité. Cette plage constitue un bon compromis, tant pour les surfeurs néophytes que pour les pratiquants confirmés en quête de sensation. Les plagistes proposent diverses prestations comme la location de tentes, transats et clubs de plage pour les enfants. En été, les concours de châteaux de sable succèdent aux cours de Zumba et initiations au yoga.
Chiens interdits sur toute la plage, même tenus en laisse.
Poste de secours de la Grande Plage : 05 59 20 01 57.

Réservation des services Handiplage Hendaye auprès du poste MNS  (05 59 20 01 57).
Autres types de demandes : 05 59 50 08 38 ou 06 20 04 10 39 ou www.handiplage.fr",Plage pointe de Sokoburu,HENDAYE,http://aquitaine.media.tourinsoft.eu/upload/OT-HENDAYE-Plage-ete-2--1-.jpg,Plage oceane,Côte Basque,SIRTAQUI,,,,151,-1.7854605999999997,43.37182530004739
"La plage du Centre de Bidart s’étend sur environ 500 mètres. Elles est la plage la plus proche du  centre-bourg du village , entre les plages d’Erretegia au Nord et de l’Uhabia au Sud. 
Cette jolie plage de sable fin est dominée par de superbes falaises verdoyantes.
C’est une plage familiale qui ravit également les amateurs de surf et de bodyboard.
Elle est facilement reconnaissable par sa digue presque centenaire.
La plage rétrécit fortement à marée haute.
Elle est équipée de sanitaires et douches, d’un snack et d’un restaurant.
Elle est surveillée en période estivale.
Les chiens ne sont pas autorisés durant la période de surveillance.
Cette plage est facilement accessible avec un parking vélo et voiture gratuit à proximité. Accès en bus depuis l’arrêt « Plage du Centre ».",Plage du Centre,BIDART,http://aquitaine.media.tourinsoft.eu/upload/CentreOthondo-2-2.jpg,Plage oceane,Côte Basque,SIRTAQUI,,,,139,-1.5970086000000001,43.43585180004712
